Truth,Model,Critic
A,"The correct answer is: **D**

**Explanation:**

- **(A)** Incorrect. The REACH Regulation does not have an authorization procedure for substances of ""very high concern"" (VHCs). It focuses on the **registration** of substances, not authorization.
- **(B)** Incorrect. The European Chemicals Agency (ECHA) is based in **Eindhoven**, not Helsinki. The statement is incorrect.
- **(C)** Incorrect. The REACH Regulation **does not** obligate manufacturers or importers to determine the hazardous properties of substances. Instead, it requires **registration** of substances by manufacturers or importers.
- **(D)** Correct. The REACH Regulation **standardizes chemicals legislation** across the EU and **increases knowledge** about the hazards and risks posed by chemicals.

**Answer: D**",no
B,"The correct answer is: **B**

**Explanation:**  
Borosilicate glass is more resistant to thermal shock than regular glass, which means it can withstand rapid temperature changes without breaking. This is essential when using a rotary evaporator, where the temperature and pressure are often fluctuated, and regular glass would be more prone to cracking or breaking. 

Thus, the correct answer is: **B**.",yes
A,"The correct answer is: **(C) of heroin with liposomes**

### Explanation:

- **pKₐ** is the pH at which a compound is half-dissociated. 
  - Heroin has a **pKₐ of 7.6**, meaning it is more acidic than cocaine, which has a **pKₐ of 8.6**.
  - **Nasal mucosa has a pH of 7.4**, which is slightly acidic.

- **Absorption of a substance** depends on its **pKa** and the **pH of the environment**.
  - If the **pH is lower than the pKa**, the compound is **more protonated** and **less ionized**, which **increases absorption**.
  - If the **pH is higher than the pKa**, the compound is **more ionized** and **less absorbed**.

- **Heroin (pKₐ = 7.6)** has a **lower pKa** than cocaine (pKₐ = 8.6), so it is **more acidic**.
  - In **pH 7.4 (nasal mucosa)**, heroin is **more protonated** (since 7.4 < 7.6), which **increases absorption**.
  - **Cocaine** is **less protonated** in nasal mucosa (pH 7.4 > 8.6), so it is **less absorbed**.

- **Liposomes** are used to **enhance absorption** of hydrophobic or poorly soluble compounds by encapsulating them in lipid bilayers, which improves their ability to cross biological membranes.

### Therefore:
- **(C) of heroin with liposomes** is the correct choice, as it increases absorption.

### Final Answer: **C**",no
D,(C) Flammable gas generation,no
B,(A) Explosion,no
A,"The correct answer is: **(A) cyclohexene**

### Explanation:
Compounds that are capable of producing **hazardous explosive peroxides** are typically **unsaturated hydrocarbons** with **multiple double bonds** or **unsaturated structures** that can undergo **peroxylation** (formation of peroxides) under certain conditions, especially in the presence of light, heat, or oxygen.

- **Cyclohexene** (A) is an **unsaturated hydrocarbon** with a double bond. It can undergo **peroxylation** and is known to form **explosive peroxides** under certain conditions.
- **Cyclooctene** (B) is also unsaturated but less reactive than cyclohexene and does **not** typically produce explosive peroxides.
- **Decalin** (C) is a **cycloalkane** and does **not** produce peroxides.
- **Ethyl ether** (D) and **isopropyl ether** (E) are **ether** compounds and do **not** typically form peroxides.
- **Para dioxane** (F) is a **dioxane derivative** and is **not** known to form explosive peroxides.
- **Tetralin** (G) is a **benzene derivative** and does **not** produce peroxides.

### Conclusion:
Only **cyclohexene** is capable of producing **hazardous explosive peroxides**.

**Answer: A**",yes
E,(E),yes
A,(A) Explosion,yes
B,"The correct answer is: **E**

**Explanation:**  
Chronic metallic mercury poisoning (mercury poisoning) is typically associated with **neurological and systemic symptoms** due to mercury's toxic effects on the nervous system and other organs. The most characteristic symptoms include:

- **Tremors** (e.g., intention tremor, muscle rigidity)
- **Masked face** (a sign of severe mercury poisoning)
- **Rigidity** (muscle stiffness)
- **Recurrent bronchopneumonia** (due to lung damage)
- **Proteinuria** (renal involvement)

**Option E** lists these symptoms, making it the most accurate choice.

**Answer: E**",No.
C,(H) Toxic gas generation,no
D,"The correct answer is: **C**

**Explanation:**  
A permissible exposure limit (PEL) of 10 ppm (parts per million) refers to the maximum allowable concentration of a substance in the air in a workplace. It is the highest level of exposure that is considered safe for an average adult worker over a 8-hour workday, 40-hour workweek, and a working lifetime. This is a standard definition in occupational health and safety.

**Why not the others?**  
- **(A)** Incorrect: 10 ppm is not enough to kill you; it's a safety limit, not a lethal threshold.  
- **(B)** Incorrect: 10 ppm is for air, not water. Also, the context of ""average adult"" and ""safe for the average adult"" is not specified in the PEL.  
- **(D)** Incorrect: The PEL is not for a ""working lifetime"" but for a specific exposure period (8 hours/day, 40 hours/week) as defined by OSHA (for example).

**Correct Answer: C**",no
A,"The correct answer is: **A, B, D**

Explanation:
- **(A) Is a hydroxamic acid derivative**: Deferoxamine is indeed a hydroxamic acid derivative, used as a chelating agent.
- **(B) Is suitable as an antidote for poisoning with iron and aluminum salts**: Yes, deferoxamine is used to treat poisoning from iron and aluminum salts.
- **(C) Is used to remove rust**: This is **false**; deferoxamine is not used for removing rust.
- **(D) Is useful as an antidote in methemoglobinemia**: Yes, deferoxamine is used in methemoglobinemia to reduce methemoglobin levels.

Thus, the correct answers are **A, B, D**. 

If the question requires a single letter, the answer is **A, B, D** — but since the format asks for a single letter, the correct answer is:

**A, B, D** (as multiple letters are correct).",yes
A,(C) Natural gas,No.
A,(A) Gas chromatography,yes
A,(A) Explosion,yes
A,B,no
A,D,no
B,(H) Toxic gas generation,no
B,"The volume of distribution (Vd) of ampicillin is approximately 0.2 L/kg, which is a relatively **low** value. This indicates that the drug is mostly distributed in the **blood plasma** and not in the **tissues**. 

A low Vd suggests that the drug is **well absorbed** and **not primarily distributed in tissues**, which means it is **not suitable for treating infections in tissues** (like brain or urinary tract), because it would not accumulate in those areas.

Let's evaluate the options:

- **(A) The antibiotic is metabolized very quickly** – This is **not correct**. There is no indication that ampicillin is metabolized quickly.
- **(B) The antibiotic is not suitable for the treatment of brain infections** – This is **correct**. A low Vd means it is not distributed in tissues, so it is not suitable for brain infections.
- **(C) The antibiotic is not suitable for the treatment of urinary bladder infections** – This is **correct**. A low Vd means it is not suitable for urinary tract infections.
- **(D) The antibiotic is poorly absorbed and must be injected** – This is **not correct**. Ampicillin is **well absorbed** and can be taken orally.

Since **both (B) and (C)** are correct, but the question asks for **the correct statement**, and the options are mutually exclusive (only one can be correct), we must choose the **most accurate** one.

However, in standard testing, **(B)** is the **most directly correct** statement about the Vd of ampicillin.

### ✅ Correct answer: **B**",yes
A,D,No.
D,"The correct answer is: **A**

**Explanation:**  
Halogenated organic compounds are incompatible with alkali metals because **alkali metals (like sodium and potassium)** act as strong reducing agents. They can catalyze the **polymersization** of halogenated compounds, leading to the formation of explosive or unstable polymers. This is a well-known property in organic chemistry, especially with halogens like chlorine and bromine.

**Correct Answer:** **A**",No.
D,(C) Strong oxidizers,No.
C,(H) Toxic gas generation,no
